epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9113,2.06084,2.43305,1.35662,0.11941,0.0077,0.00443,0.00199,3.82897,258.163,2.30649,0.000326667,0.000326667,0.06766
2,75.7733,1.68569,1.45775,1.18064,0,0,0,0,3.94694,676250,5.20917,0.00065996,0.00065996,0.03466
3,108.037,1.60603,1.35944,1.1376,0.1778,0.06816,0.0413,0.01097,3.22188,4.08082,2.11571,0.000993091,0.000993091,0.00165976
4,145.339,1.5628,1.27981,1.14527,0.20951,0.00224,0.00201,0.00084,5.59567,89.6098,3.52225,0.00099945,0.00099945,0.00099945
5,177.464,1.67174,1.30512,1.15913,0.05975,0.0208,0.00691,0.00129,3.89249,3.41204,2.68179,0.000999023,0.000999023,0.000999023
6,209.687,1.54211,1.11907,1.11167,0.14967,0.11861,0.04913,0.00838,3.82757,2.32094,2.58759,0.000998474,0.000998474,0.000998474
7,241.838,1.44594,1.05649,1.06664,0.2066,0.15566,0.08615,0.01641,3.60538,1.97927,2.44215,0.000997803,0.000997803,0.000997803
8,274.317,1.36796,0.96426,1.0489,0.49956,0.46689,0.3603,0.07483,2.91712,1.40146,1.91961,0.000997011,0.000997011,0.000997011
9,306.891,1.43276,0.95437,1.04559,0.05527,0.04769,0.01997,0.00439,3.97789,2.91187,2.68503,0.000996097,0.000996097,0.000996097
10,338.987,1.43765,0.96658,1.06932,0.50318,0.39288,0.36109,0.08405,2.99407,1.85953,1.95218,0.000995062,0.000995062,0.000995062
11,371.341,1.36692,0.93979,1.05763,0.65154,0.58988,0.57565,0.13682,2.70464,1.31347,1.7797,0.000993906,0.000993906,0.000993906
12,403.793,1.40425,0.90523,1.0567,0.73217,0.70096,0.68227,0.18666,2.43998,1.17524,1.66193,0.000992629,0.000992629,0.000992629
13,436.298,1.37144,0.90483,1.05911,0.56087,0.51683,0.48199,0.1325,2.74715,1.41348,1.80911,0.000991232,0.000991232,0.000991232
14,468.285,1.32359,0.85362,1.03062,0.40942,0.35514,0.27263,0.05175,3.18865,1.65666,2.10395,0.000989715,0.000989715,0.000989715
15,500.318,1.26568,0.82033,1.02548,0.66669,0.56904,0.56275,0.13019,2.82751,1.2267,1.88184,0.000988079,0.000988079,0.000988079
16,532.358,1.34548,0.82113,1.03792,0.55362,0.48845,0.41649,0.08033,3.05712,1.4065,2.00807,0.000986323,0.000986323,0.000986323
17,564.364,1.31214,0.80769,1.03483,0.32506,0.26926,0.16821,0.03239,3.57333,1.54238,2.39311,0.000984449,0.000984449,0.000984449
18,596.377,1.30077,0.8313,1.01316,0.24482,0.2307,0.12201,0.0226,3.64142,1.69778,2.51515,0.000982456,0.000982456,0.000982456
19,628.497,1.32207,0.84908,1.02351,0.59055,0.54085,0.45975,0.09536,3.04256,1.30554,2.05065,0.000980345,0.000980345,0.000980345
20,660.439,1.27834,0.76456,1.02693,0.55271,0.51315,0.45559,0.0975,3.0703,1.32485,1.95882,0.000978118,0.000978118,0.000978118
21,692.471,1.20825,0.74508,1.00593,0.27266,0.24125,0.13567,0.02439,3.63057,1.46275,2.55377,0.000975773,0.000975773,0.000975773
22,724.766,1.22057,0.72119,0.99726,0.48299,0.42432,0.35042,0.06349,3.19658,1.37403,2.14261,0.000973312,0.000973312,0.000973312
23,756.859,1.22867,0.73911,0.99648,0.45369,0.35929,0.30954,0.05701,3.5001,1.52423,2.46873,0.000970736,0.000970736,0.000970736
24,788.888,1.21322,0.74315,0.98799,0.60114,0.55431,0.49467,0.11142,2.92031,1.1845,1.92878,0.000968045,0.000968045,0.000968045
25,820.9,1.19218,0.71584,0.98887,0.58196,0.48357,0.43329,0.09365,3.07297,1.24337,2.0546,0.000965239,0.000965239,0.000965239
26,852.848,1.20264,0.71817,0.99399,0.57475,0.47391,0.40014,0.07918,3.14308,1.18164,2.11778,0.00096232,0.00096232,0.00096232
27,885.136,1.24084,0.7227,1.0055,0.57015,0.48157,0.41204,0.08831,3.07646,1.20029,2.06475,0.000959289,0.000959289,0.000959289
28,917.123,1.21918,0.71224,0.9908,0.81698,0.7785,0.76911,0.21274,2.56655,0.94847,1.68992,0.000956145,0.000956145,0.000956145
29,949.533,1.24251,0.72509,1.00648,0.54243,0.49449,0.42746,0.07909,3.2374,1.38178,2.26612,0.000952889,0.000952889,0.000952889
30,981.5,1.25053,0.7181,0.99431,0.66349,0.61674,0.55111,0.11372,2.98408,1.11224,1.99972,0.000949524,0.000949524,0.000949524
31,1013.47,1.13963,0.66971,0.96998,0.69775,0.63624,0.62332,0.14217,2.90825,1.13955,1.89231,0.000946048,0.000946048,0.000946048
32,1045.45,1.16755,0.67035,0.98015,0.9284,0.90538,0.95087,0.47153,1.69892,0.69538,1.21099,0.000942464,0.000942464,0.000942464
33,1077.86,1.13475,0.65152,0.96873,0.7377,0.67538,0.67037,0.16553,2.83843,1.07425,1.89231,0.000938772,0.000938772,0.000938772
34,1109.85,1.11125,0.64862,0.96853,0.44155,0.42733,0.31287,0.04998,3.49437,1.40113,2.43033,0.000934973,0.000934973,0.000934973
35,1141.89,1.18243,0.67899,0.98068,0.54686,0.50348,0.43642,0.08089,3.28679,1.21094,2.2927,0.000931067,0.000931067,0.000931067
36,1173.89,1.12538,0.64689,0.96592,0.92738,0.8752,0.91953,0.38638,1.90805,0.71809,1.2762,0.000927057,0.000927057,0.000927057
37,1205.91,1.10272,0.64725,0.97655,0.93785,0.89768,0.93304,0.35868,2.06492,0.76892,1.37888,0.000922942,0.000922942,0.000922942
38,1237.85,1.1481,0.66759,0.96608,0.77538,0.72812,0.69993,0.19037,2.61612,0.92112,1.73026,0.000918725,0.000918725,0.000918725
39,1269.84,1.21079,0.68262,0.97676,0.32784,0.31259,0.23057,0.04056,3.54194,1.49073,2.5157,0.000914405,0.000914405,0.000914405
40,1301.86,1.15854,0.65336,0.97985,0.61575,0.59294,0.5103,0.11522,2.98407,1.0748,1.96494,0.000909984,0.000909984,0.000909984
41,1333.88,1.11667,0.63161,0.97125,0.83665,0.78204,0.77065,0.21109,2.58081,0.92703,1.68966,0.000905463,0.000905463,0.000905463
42,1365.96,1.08458,0.61272,0.95137,0.71263,0.64961,0.62898,0.14333,2.89881,1.05481,1.90067,0.000900844,0.000900844,0.000900844
43,1397.93,1.05782,0.60217,0.95202,0.88705,0.84978,0.88352,0.27132,2.428,0.86189,1.5884,0.000896127,0.000896127,0.000896127
44,1429.89,1.05509,0.61259,0.95078,0.86231,0.80317,0.8169,0.23077,2.55233,0.90196,1.67942,0.000891313,0.000891313,0.000891313
45,1461.94,1.08165,0.61501,0.94828,0.76173,0.72743,0.68652,0.16931,2.79233,0.97675,1.86403,0.000886404,0.000886404,0.000886404
46,1493.94,1.03276,0.58905,0.94798,0.79037,0.73659,0.70435,0.18295,2.75489,0.89351,1.83279,0.000881401,0.000881401,0.000881401
47,1525.95,1.08291,0.59964,0.96157,0.94787,0.90372,0.94509,0.3875,1.98077,0.69787,1.32812,0.000876305,0.000876305,0.000876305
48,1557.99,1.03647,0.58141,0.9301,0.92128,0.85282,0.90649,0.30659,2.31094,0.86416,1.51072,0.000871117,0.000871117,0.000871117
49,1590.07,1.05286,0.59744,0.95384,0.77822,0.71294,0.67728,0.16957,2.7691,0.93494,1.84099,0.000865839,0.000865839,0.000865839
50,1622.03,1.0487,0.59323,0.94527,0.96446,0.94634,0.98045,0.60452,1.28979,0.53568,1.04852,0.000860473,0.000860473,0.000860473
51,1654.32,1.06916,0.59898,0.93935,0.87515,0.83733,0.85864,0.26165,2.41515,0.8827,1.56439,0.000855018,0.000855018,0.000855018
52,1686.66,1.07358,0.59604,0.95912,0.89056,0.82922,0.86663,0.26101,2.42722,0.83939,1.5747,0.000849477,0.000849477,0.000849477
53,1718.61,1.07587,0.58526,0.95232,0.95905,0.91265,0.96572,0.48633,1.65906,0.61613,1.17682,0.000843851,0.000843851,0.000843851
54,1750.64,1.07271,0.59602,0.94518,0.90382,0.86262,0.88975,0.27413,2.53042,0.85328,1.66163,0.000838141,0.000838141,0.000838141
55,1782.73,1.02786,0.56297,0.94863,0.8829,0.82468,0.85777,0.26678,2.45439,0.86396,1.58101,0.000832349,0.000832349,0.000832349
56,1814.84,1.02784,0.55892,0.93958,0.92822,0.89001,0.92189,0.30969,2.30776,0.78853,1.5091,0.000826477,0.000826477,0.000826477
57,1846.91,1.05126,0.57341,0.94108,0.83734,0.77505,0.77343,0.20911,2.66192,0.87259,1.75853,0.000820525,0.000820525,0.000820525
58,1878.99,1.04379,0.57356,0.94765,0.87463,0.83224,0.85024,0.2663,2.46934,0.83101,1.64294,0.000814495,0.000814495,0.000814495
59,1911.07,1.02547,0.5723,0.92624,0.66396,0.59392,0.51287,0.10358,3.08422,1.07999,2.06468,0.000808389,0.000808389,0.000808389
60,1943.17,1.0201,0.53844,0.93079,0.82318,0.76941,0.74718,0.19279,2.72956,0.9578,1.81461,0.000802208,0.000802208,0.000802208
61,1975.32,1.00162,0.54192,0.93592,0.96455,0.94459,0.97792,0.61718,1.2877,0.51322,1.05204,0.000795954,0.000795954,0.000795954
62,2007.76,1.10214,0.57004,0.94785,0.94829,0.91748,0.96185,0.45341,1.80823,0.70127,1.27113,0.000789628,0.000789628,0.000789628
63,2039.83,1.06878,0.56637,0.94648,0.90036,0.8827,0.90455,0.32119,2.29941,0.77781,1.47889,0.000783231,0.000783231,0.000783231
64,2071.91,1.06536,0.56059,0.94093,0.9366,0.88775,0.9283,0.33012,2.28064,0.77581,1.49472,0.000776766,0.000776766,0.000776766
65,2103.97,0.99914,0.52881,0.92605,0.93135,0.8849,0.92923,0.31554,2.34467,0.75716,1.52561,0.000770234,0.000770234,0.000770234
66,2135.93,0.98427,0.51758,0.92576,0.90117,0.87725,0.89514,0.30187,2.27786,0.81594,1.49311,0.000763637,0.000763637,0.000763637
67,2168.07,0.95965,0.52195,0.9229,0.97755,0.93525,0.97595,0.51637,1.64376,0.58813,1.16609,0.000756976,0.000756976,0.000756976
68,2200.11,0.97876,0.53179,0.92122,0.95422,0.91916,0.95258,0.40603,2.0299,0.70155,1.35466,0.000750252,0.000750252,0.000750252
69,2232.17,0.98118,0.52548,0.9264,0.93787,0.88135,0.92303,0.33791,2.20609,0.74713,1.45649,0.000743468,0.000743468,0.000743468
70,2264.19,0.98001,0.53072,0.91948,0.69496,0.6398,0.61849,0.14216,2.97637,1.15516,2.00476,0.000736625,0.000736625,0.000736625
71,2296.06,0.98835,0.53182,0.9229,0.92809,0.84957,0.89462,0.28509,2.43647,0.86362,1.61453,0.000729725,0.000729725,0.000729725
72,2328.04,0.99239,0.52972,0.92287,0.96025,0.92781,0.96469,0.47138,1.79449,0.63232,1.22508,0.00072277,0.00072277,0.00072277
73,2360.08,0.95921,0.51422,0.91694,0.96715,0.9336,0.97115,0.51746,1.61337,0.5668,1.17631,0.000715761,0.000715761,0.000715761
74,2392.02,0.98091,0.52713,0.91627,0.70944,0.66456,0.61996,0.13666,2.99555,1.0341,2.04796,0.0007087,0.0007087,0.0007087
75,2424.02,0.9358,0.51156,0.92341,0.97342,0.93213,0.97948,0.63944,1.19781,0.48886,1.02172,0.000701588,0.000701588,0.000701588
76,2456.32,0.96397,0.51046,0.91362,0.91172,0.83469,0.88271,0.27431,2.48849,0.82991,1.62601,0.000694428,0.000694428,0.000694428
77,2488.74,0.97664,0.52745,0.9197,0.96352,0.93287,0.96961,0.46726,1.80179,0.62619,1.24899,0.000687222,0.000687222,0.000687222
78,2520.81,0.96221,0.51173,0.91797,0.979,0.93609,0.97669,0.52257,1.65015,0.57889,1.17564,0.00067997,0.00067997,0.00067997
79,2552.86,0.93355,0.49508,0.91095,0.92427,0.89505,0.9334,0.35038,2.20872,0.75983,1.46916,0.000672675,0.000672675,0.000672675
80,2584.94,0.97703,0.50487,0.91429,0.96119,0.90513,0.96131,0.4425,1.89113,0.65741,1.28267,0.000665339,0.000665339,0.000665339
81,2616.96,0.96203,0.49669,0.92071,0.94846,0.89579,0.93901,0.32485,2.32789,0.77467,1.55695,0.000657963,0.000657963,0.000657963
82,2649.06,0.97966,0.50937,0.91972,0.92382,0.89328,0.92437,0.34417,2.22751,0.74019,1.47097,0.00065055,0.00065055,0.00065055
83,2681.12,0.94124,0.49191,0.91305,0.95428,0.93207,0.96202,0.45344,1.90038,0.61951,1.28875,0.000643101,0.000643101,0.000643101
84,2713.2,0.94949,0.50187,0.91479,0.96273,0.93197,0.96859,0.51331,1.69414,0.59785,1.20115,0.000635617,0.000635617,0.000635617
85,2745.26,0.91509,0.48189,0.91927,0.97186,0.94253,0.97551,0.50151,1.7408,0.58589,1.21604,0.000628101,0.000628101,0.000628101
86,2777.24,0.94169,0.50498,0.92195,0.9658,0.92542,0.96724,0.45848,1.85119,0.62568,1.26114,0.000620555,0.000620555,0.000620555
