epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.008,1.64483,1.83382,1.25588,0.29335,0.28908,0.24187,0.07481,2.04917,2.7763,1.43136,0.000331667,0.000331667,0.067165
2,236.627,1.43549,1.33343,1.15202,0.78847,0.7638,0.82892,0.33552,1.89822,1.26153,1.37278,0.000664959,0.000664959,0.034165
3,354.284,1.36714,1.17261,1.11782,0.57965,0.43291,0.42492,0.16396,2.51367,2.11239,1.74113,0.000998089,0.000998089,0.00116476
4,470.919,1.29701,1.08572,1.09352,0.36373,0.2279,0.20824,0.05989,2.89746,3.13156,1.9283,0.00099945,0.00099945,0.00099945
5,587.267,1.23137,0.99611,1.07677,0.49503,0.447,0.35761,0.06387,3.25228,1.43603,2.07416,0.000999023,0.000999023,0.000999023
6,703.563,1.23149,0.96831,1.06923,0.82541,0.70289,0.76352,0.2436,2.40191,1.16126,1.58764,0.000998474,0.000998474,0.000998474
7,820.825,1.14459,0.88733,1.03596,0.87671,0.83974,0.9213,0.40702,1.83521,0.92235,1.28234,0.000997803,0.000997803,0.000997803
8,937.873,1.15734,0.85163,1.03744,0.7397,0.66735,0.64813,0.16418,2.69791,1.07521,1.80518,0.000997011,0.000997011,0.000997011
9,1054.72,1.09957,0.81784,1.01896,0.82753,0.79262,0.80401,0.21165,2.63718,0.98538,1.71417,0.000996097,0.000996097,0.000996097
10,1172.41,1.06108,0.79401,1.01174,0.86518,0.78375,0.89856,0.43442,1.69181,0.96497,1.20996,0.000995062,0.000995062,0.000995062
11,1289.79,1.05965,0.7697,1.01004,0.42016,0.35983,0.27226,0.04649,3.45818,1.35065,2.294,0.000993906,0.000993906,0.000993906
12,1406.89,1.06158,0.75505,1.00967,0.87641,0.82311,0.86383,0.30175,2.25634,0.80332,1.51252,0.000992629,0.000992629,0.000992629
13,1524.11,1.08841,0.76598,1.0141,0.87345,0.8405,0.89672,0.31863,2.1346,0.97626,1.42275,0.000991232,0.000991232,0.000991232
14,1641.39,1.01169,0.71201,0.98835,0.75183,0.694,0.64026,0.15134,2.75013,1.10422,1.82813,0.000989715,0.000989715,0.000989715
15,1758.48,0.99892,0.70307,0.98615,0.92976,0.91299,0.96579,0.6887,0.94208,0.54728,0.97122,0.000988079,0.000988079,0.000988079
16,1875.99,1.00991,0.69818,0.98959,0.94759,0.92067,0.96435,0.52047,1.54749,0.6647,1.13999,0.000986323,0.000986323,0.000986323
17,1993.2,0.97778,0.68338,0.98086,0.8675,0.80978,0.81446,0.24726,2.31511,0.87527,1.52569,0.000984449,0.000984449,0.000984449
18,2110.24,0.97702,0.67334,0.97865,0.85101,0.78343,0.80032,0.22389,2.4423,0.89638,1.6381,0.000982456,0.000982456,0.000982456
19,2227.29,0.98012,0.68045,0.98001,0.93561,0.88802,0.94652,0.41722,1.81495,0.74796,1.26518,0.000980345,0.000980345,0.000980345
20,2343.99,0.95342,0.64936,0.96744,0.96217,0.92619,0.97697,0.62523,1.22372,0.54689,1.04215,0.000978118,0.000978118,0.000978118
21,2460.78,0.94098,0.65354,0.96933,0.93365,0.92132,0.96476,0.53513,1.54051,0.6615,1.14386,0.000975773,0.000975773,0.000975773
22,2577.88,0.97011,0.66273,0.97136,0.75088,0.72252,0.70144,0.15579,2.88275,1.03329,1.92821,0.000973312,0.000973312,0.000973312
23,2695.08,0.92989,0.64283,0.96567,0.95453,0.9009,0.96404,0.43754,1.8604,0.69547,1.28522,0.000970736,0.000970736,0.000970736
24,2812.38,0.92553,0.63222,0.96303,0.89814,0.85806,0.88168,0.28356,2.31685,0.83704,1.51686,0.000968045,0.000968045,0.000968045
25,2929.71,0.93384,0.62339,0.96272,0.94843,0.91462,0.96913,0.73031,0.88832,0.47548,0.95027,0.000965239,0.000965239,0.000965239
26,3047.33,0.90259,0.60193,0.95651,0.97502,0.90433,0.96968,0.58932,1.35016,0.55586,1.07542,0.00096232,0.00096232,0.00096232
27,3164.7,0.90307,0.62197,0.95466,0.95617,0.93197,0.97702,0.6928,0.97948,0.47286,0.97196,0.000959289,0.000959289,0.000959289
28,3281.8,0.90952,0.60929,0.95323,0.92482,0.89813,0.93819,0.42707,1.8603,0.67663,1.28278,0.000956145,0.000956145,0.000956145
29,3398.77,0.89687,0.59794,0.95254,0.82736,0.75589,0.76719,0.20463,2.72345,1.00036,1.79198,0.000952889,0.000952889,0.000952889
30,3515.79,0.88743,0.58815,0.94625,0.95547,0.9175,0.9757,0.61078,1.28588,0.53437,1.04335,0.000949524,0.000949524,0.000949524
31,3632.71,0.88696,0.59191,0.95065,0.95835,0.91164,0.9728,0.54542,1.44029,0.57059,1.10808,0.000946048,0.000946048,0.000946048
32,3749.81,0.90473,0.60298,0.95573,0.96519,0.93499,0.97731,0.69517,1.06497,0.48312,0.9908,0.000942464,0.000942464,0.000942464
33,3866.61,0.90671,0.5876,0.94994,0.95904,0.94546,0.97825,0.61556,1.26932,0.48832,1.03769,0.000938772,0.000938772,0.000938772
34,3984.54,0.87436,0.57497,0.94233,0.9721,0.93306,0.97947,0.63736,1.18887,0.48417,1.01899,0.000934973,0.000934973,0.000934973
35,4102.54,0.87283,0.57367,0.94336,0.97035,0.9227,0.97165,0.50367,1.70525,0.61009,1.21747,0.000931067,0.000931067,0.000931067
36,4219.91,0.85172,0.55585,0.93178,0.95765,0.92208,0.97421,0.55921,1.48316,0.56657,1.10716,0.000927057,0.000927057,0.000927057
37,4336.9,0.84748,0.5574,0.93377,0.96046,0.92797,0.96857,0.4548,1.8205,0.62408,1.26169,0.000922942,0.000922942,0.000922942
38,4453.92,0.83963,0.54734,0.9355,0.96503,0.94873,0.97936,0.55836,1.47729,0.51718,1.11096,0.000918725,0.000918725,0.000918725
39,4570.81,0.84278,0.55149,0.92967,0.96156,0.92557,0.96899,0.54897,1.47868,0.54863,1.11327,0.000914405,0.000914405,0.000914405
40,4687.96,0.84831,0.56183,0.93007,0.96375,0.92111,0.9712,0.5748,1.39906,0.53966,1.08668,0.000909984,0.000909984,0.000909984
41,4804.9,0.83672,0.5355,0.92937,0.96152,0.94435,0.9781,0.60948,1.27596,0.49586,1.05823,0.000905463,0.000905463,0.000905463
42,4921.63,0.84351,0.54404,0.93271,0.96998,0.93622,0.97783,0.63698,1.19717,0.45707,1.02147,0.000900844,0.000900844,0.000900844
43,5038.66,0.83944,0.53891,0.92675,0.96289,0.95423,0.98366,0.74853,0.86027,0.39801,0.94271,0.000896127,0.000896127,0.000896127
44,5155.63,0.84015,0.5349,0.92388,0.97408,0.91715,0.97443,0.54825,1.50103,0.54117,1.12057,0.000891313,0.000891313,0.000891313
45,5272.49,0.79592,0.51557,0.91626,0.97659,0.93449,0.97992,0.56001,1.48007,0.51102,1.1156,0.000886404,0.000886404,0.000886404
46,5390.11,0.80758,0.52245,0.91993,0.96643,0.94619,0.98014,0.6091,1.36598,0.48149,1.07289,0.000881401,0.000881401,0.000881401
47,5507.21,0.83253,0.53434,0.92891,0.97373,0.923,0.97217,0.68083,1.06772,0.46858,0.98563,0.000876305,0.000876305,0.000876305
48,5623.91,0.78628,0.51193,0.91284,0.95998,0.94133,0.9758,0.60257,1.37568,0.48765,1.08001,0.000871117,0.000871117,0.000871117
49,5740.98,0.81646,0.5153,0.92223,0.97698,0.94968,0.98515,0.67888,1.13037,0.43129,0.99426,0.000865839,0.000865839,0.000865839
50,5857.57,0.81348,0.52025,0.91982,0.97172,0.9494,0.98207,0.72431,1.00284,0.40027,0.97057,0.000860473,0.000860473,0.000860473
51,5974.37,0.80361,0.51471,0.91882,0.96459,0.94617,0.97985,0.72135,0.91848,0.42319,0.95623,0.000855018,0.000855018,0.000855018
52,6091.79,0.78454,0.5006,0.91269,0.96356,0.94843,0.9817,0.61281,1.34384,0.48241,1.06688,0.000849477,0.000849477,0.000849477
53,6208.76,0.76953,0.49769,0.91345,0.97873,0.93436,0.98044,0.63192,1.29722,0.47882,1.04709,0.000843851,0.000843851,0.000843851
54,6325.67,0.78888,0.51775,0.91538,0.96019,0.94498,0.98025,0.57376,1.51963,0.51157,1.14662,0.000838141,0.000838141,0.000838141
55,6442.72,0.776,0.49398,0.91245,0.95748,0.94667,0.97448,0.73731,0.90306,0.41744,0.9585,0.000832349,0.000832349,0.000832349
56,6559.5,0.77449,0.49184,0.91261,0.97447,0.94628,0.98365,0.68176,1.16584,0.42628,1.00453,0.000826477,0.000826477,0.000826477
57,6676.48,0.75755,0.48732,0.9089,0.97822,0.95092,0.9851,0.60992,1.37588,0.49006,1.06578,0.000820525,0.000820525,0.000820525
58,6793.56,0.74579,0.48629,0.90728,0.97552,0.9564,0.985,0.72295,0.98877,0.3931,0.96939,0.000814495,0.000814495,0.000814495
59,6911.34,0.76607,0.4881,0.90741,0.96464,0.9579,0.98119,0.6658,1.19507,0.4374,1.01277,0.000808389,0.000808389,0.000808389
60,7028.28,0.76281,0.48505,0.90715,0.97992,0.95227,0.98448,0.64941,1.24534,0.43361,1.02851,0.000802208,0.000802208,0.000802208
61,7145.61,0.76307,0.49348,0.90883,0.97409,0.94223,0.98124,0.58799,1.47087,0.51402,1.10059,0.000795954,0.000795954,0.000795954
62,7262.53,0.75615,0.48341,0.90762,0.97717,0.95964,0.98655,0.75436,0.88187,0.35963,0.9308,0.000789628,0.000789628,0.000789628
63,7379.47,0.749,0.4809,0.90144,0.97023,0.94988,0.98391,0.72677,0.97839,0.40104,0.95289,0.000783231,0.000783231,0.000783231
64,7496.18,0.73852,0.472,0.90035,0.98362,0.95329,0.98296,0.68507,1.151,0.4152,1.01069,0.000776766,0.000776766,0.000776766
65,7612.78,0.74841,0.46862,0.89874,0.96332,0.95539,0.98232,0.75597,0.87158,0.40026,0.92975,0.000770234,0.000770234,0.000770234
66,7729.62,0.73159,0.46661,0.89887,0.96915,0.95216,0.98228,0.71908,1.03809,0.40141,0.97521,0.000763637,0.000763637,0.000763637
67,7846,0.73107,0.46613,0.90008,0.96297,0.9448,0.97787,0.72889,0.96182,0.41822,0.95768,0.000756976,0.000756976,0.000756976
68,7962.47,0.73304,0.46641,0.89959,0.97064,0.94962,0.9846,0.66256,1.23263,0.44405,1.03661,0.000750252,0.000750252,0.000750252
69,8079.03,0.72073,0.46046,0.89921,0.97671,0.95155,0.98152,0.74197,0.93275,0.38563,0.95047,0.000743468,0.000743468,0.000743468
70,8195.7,0.72547,0.45986,0.90083,0.97359,0.95354,0.9858,0.66393,1.23761,0.43113,1.03193,0.000736625,0.000736625,0.000736625
71,8312.37,0.72535,0.45324,0.89724,0.97824,0.94855,0.98123,0.68796,1.13811,0.43253,0.99891,0.000729725,0.000729725,0.000729725
72,8429.27,0.7072,0.44719,0.89095,0.96744,0.96226,0.98186,0.73583,0.97466,0.39984,0.9556,0.00072277,0.00072277,0.00072277
