epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9114,2.03122,2.32636,1.42175,0.37203,0.43896,0.28233,0.06671,2.85128,2.55378,2.00925,0.000330383,0.000330383,0.067292
2,137.293,1.81607,1.79686,1.30411,0.70249,0.62142,0.67307,0.29648,1.81141,1.68336,1.32645,0.000663676,0.000663676,0.034292
3,206.466,1.71363,1.69584,1.2514,0.77509,0.75179,0.80547,0.30518,2.2216,1.39328,1.60473,0.000996807,0.000996807,0.00129179
4,275.137,1.67451,1.56002,1.22404,0.56555,0.4576,0.42876,0.08798,3.09314,1.59231,2.06778,0.00099945,0.00099945,0.00099945
5,343.388,1.63641,1.49515,1.21044,0.77991,0.80118,0.8175,0.25142,2.24125,1.27237,1.67217,0.000999023,0.000999023,0.000999023
6,412.055,1.59632,1.44378,1.19971,0.82132,0.85354,0.89916,0.57624,1.21786,0.92911,1.08051,0.000998474,0.000998474,0.000998474
7,480.671,1.58203,1.39745,1.19009,0.91246,0.88504,0.95591,0.6939,0.94607,0.70082,0.97941,0.000997803,0.000997803,0.000997803
8,549.519,1.52595,1.32634,1.16612,0.9213,0.87577,0.95178,0.47854,1.69199,0.80618,1.33993,0.000997011,0.000997011,0.000997011
9,617.863,1.50569,1.26987,1.16356,0.84891,0.8337,0.90431,0.48057,1.64519,0.97632,1.25089,0.000996097,0.000996097,0.000996097
10,686.451,1.52543,1.28855,1.16301,0.92422,0.8845,0.93088,0.34707,2.13356,0.99447,1.43565,0.000995062,0.000995062,0.000995062
11,754.935,1.44732,1.22961,1.13552,0.94838,0.92148,0.96884,0.69929,0.97302,0.57579,0.98586,0.000993906,0.000993906,0.000993906
12,823.484,1.47831,1.22787,1.13556,0.90118,0.89011,0.92927,0.34341,2.15583,0.86304,1.45594,0.000992629,0.000992629,0.000992629
13,891.816,1.45539,1.21661,1.13083,0.93235,0.92116,0.96483,0.46866,1.77813,0.76477,1.35272,0.000991232,0.000991232,0.000991232
14,960.173,1.43517,1.15164,1.12158,0.88511,0.84901,0.87429,0.25867,2.51971,0.88538,1.61837,0.000989715,0.000989715,0.000989715
15,1028.41,1.42253,1.1313,1.1214,0.94896,0.93132,0.96815,0.49247,1.71241,0.67103,1.24041,0.000988079,0.000988079,0.000988079
16,1096.62,1.40857,1.14639,1.11699,0.95322,0.93403,0.97635,0.54591,1.59716,0.66675,1.22026,0.000986323,0.000986323,0.000986323
17,1164.72,1.36607,1.13369,1.10025,0.94729,0.9354,0.97364,0.51012,1.73673,0.67524,1.33115,0.000984449,0.000984449,0.000984449
18,1233.21,1.3368,1.08632,1.08813,0.85234,0.8094,0.83307,0.23908,2.53618,1.01025,1.70192,0.000982456,0.000982456,0.000982456
19,1301.28,1.36685,1.09457,1.09624,0.95881,0.92673,0.97548,0.64593,1.22868,0.5739,1.07221,0.000980345,0.000980345,0.000980345
20,1369.42,1.30482,1.04934,1.07147,0.9575,0.93576,0.97342,0.53616,1.64913,0.66037,1.26128,0.000978118,0.000978118,0.000978118
21,1437.89,1.27905,1.01286,1.06983,0.93113,0.91055,0.95137,0.48321,1.81187,0.74209,1.33405,0.000975773,0.000975773,0.000975773
22,1506.39,1.30455,1.05431,1.08187,0.95855,0.91436,0.97648,0.70348,0.99241,0.54365,0.95714,0.000973312,0.000973312,0.000973312
23,1574.88,1.28782,1.03277,1.06454,0.96829,0.95623,0.9881,0.74182,0.91973,0.46289,0.95117,0.000970736,0.000970736,0.000970736
24,1643.26,1.28465,1.01933,1.06369,0.83955,0.80924,0.80328,0.20089,2.74172,0.95276,1.8431,0.000968045,0.000968045,0.000968045
25,1711.3,1.28229,1.01319,1.07015,0.96066,0.92332,0.96619,0.43327,2.0196,0.73891,1.50259,0.000965239,0.000965239,0.000965239
26,1779.87,1.26863,1.00461,1.05835,0.9711,0.9333,0.98226,0.55448,1.52182,0.58498,1.1339,0.00096232,0.00096232,0.00096232
27,1848.23,1.25947,1.0017,1.05634,0.95781,0.92628,0.96944,0.39232,2.07359,0.73906,1.35586,0.000959289,0.000959289,0.000959289
28,1916.32,1.27827,0.98713,1.06092,0.96791,0.9157,0.96565,0.47206,1.85338,0.71747,1.38281,0.000956145,0.000956145,0.000956145
29,1984.25,1.25994,0.99035,1.05204,0.96033,0.93597,0.97855,0.54096,1.59675,0.62772,1.24645,0.000952889,0.000952889,0.000952889
30,2052.47,1.26607,0.9989,1.05502,0.94527,0.89996,0.95707,0.44533,1.94107,0.7756,1.46062,0.000949524,0.000949524,0.000949524
